Feature,SHAP Value,Actual Value
amt_ratio_to_median,143802362901.5524,4573279.202296796
amt_zscore_merchant,0.0,103.89730826187818
age,0.0,-0.7227500143965699
hour,0.0,0.17410644385861787
distance_km,0.0,-2.4276844768222756
is_weekend,0.0,-0.6927507668806219
is_night_transaction,0.0,-0.5982070161195872
is_high_amount,0.0,4.544635699892788
job,0.0,-1.7990101928299198
state_fraud_rate,0.0,-3.7216193207924415
hour_sin,0.0,-0.5213902110559785
hour_cos,0.0,-1.2009621919378495
day_of_week,0.0,0.0188674842458469
merchant_transaction_volume,0.0,-3.7866545385518977
merchant_fraud_rate,0.0,-0.9124255973346793
merchant_avg_amount,0.0,-2.96486703419931
city_pop,-3416237321.56662,-0.1945418054864086
is_high_risk_category,-4141696570.6095514,-0.6716393067503099
city_pop_log,-4501768912.659986,0.9171991533295638
category,-5616018506.7233305,-1.6008233707080286
amt_zscore_category,-5691330864.409006,103.90534894442526
is_rural,-6031975553.157311,-1.4005102229208495
is_month_start,-7020127445.020667,-0.4389648120565299
is_month_end,-7206155827.907419,1.8946096965474997
amt_log,-7907918076.350718,0.8564755392370891
